Sentence,Sentiment,Translated
মই এই গানটো নিৰন্তৰ শুনি থকাৰ কেইমাহ মান হ'ল,1,It's been a few months since I'm constantly listening to this song.
সঁচা অসমীয়া যদি অলপ নিজৰ মৌলিক চিন্তা খটুৱাই কাম কৰক,0,True Assamese if you work with a little bit of your basic thoughts
মই ভাল পাওঁ যে অসমসংগীত উদ্যোগ ক'লৈ গৈ আছে।,1,I love where the Assam music industry is going.
এই গীতটিয়ে মনটোক সতেজ কৰি তোলে,1,This song refreshes the mind
এই গানটো ইমান আৰামদায়ক,1,This song is so comfortable
বিহুৰ প্ৰকৃত ৰস আজিহে পান কৰা যেন লাগিল।,1,The real juice of Bihu seemed to be consumed today ittha.
চমৎকাৰ,1,fantastic
কি ফকতিযা গান কেলা,0,Ki Faktiya Gaan Kela
ৰেপৰ্ত মাৰি দিলোঁ,0,I hit the rapper
যাদু এটা আছে এই কণ্ঠত,1,Magic is in this voice
"গু খাই ভালপোৱা মানুহ থাকিলে হাগিবই লাগিব ন! হাগি যোৱা এনেকৈ।


",0,"If you have a person who loves eating jaggery, you don't have to laugh! That's how it's lost.

"
"ফতুৱা,অবদ্র অসমৰ নাম জাত যাবলে গান গাবলৈ সাজু হৈছ",0,"Fatwa, Adra Assam's name caste Jaal is ready to sing"
এইটো সচাকৈয়ে প্ৰশংসা কৰোঁ।,1,I appreciate it all the way.
আকৰ্ষণীয়,1,interesting
এই পাগলটোৰ  পাগলামি বাঢ়ি গৈ আছে ।,0,The madness of this madman is growing.
মোৰ বাবে এই গীতটিয়ে শ্ৰেষ্ঠতম হৈ ৰব,1,This song will be the best for me
গান গাবলৈ এৰি দিয়ক,0,Leave to sing
মৰহি যোৱা অসমীয়া   গীত  আকৌ জীপাল হৈ উঠিছে,1,The dying Assamese song has again become jipal
মুখ দিয়ে গাইছে নাকী নাক দিয়ে গাইছে বোঝাই যাচ্ছে না,0,It's not underscored that the nose is singing with your mouth.
আপুনি কেতিয়াও আমাক অসন্তুষ্ট নকৰে,1,You never offend us
আজি প্ৰথম বিহুৰ দিনা প্ৰকৃত বিহু চাব পাই ধন্য হৈ গলোঁ,1,"Today, on the first Bihu day, I was happy to see the real Bihu."
"ক'বলৈ শব্দ নাই, বিশেষ ভাৱে সক্ষম সকলক বহুত উৎসাহিত কৰিব",1,"No words to say, encourage specially abled people a lot"
হৃদয় চুই যাই,1,Let's touch the heart
সুন্দৰ বিহু গীত,1,Beautiful Bihu Song
আজিকালি বিহুবোৰ কিবা দুদিনমান শুনাৰ পাছত আকৌ শুনিবলৈকে মন নাযায়।,0,Nowadays i don't feel like listening to bihu again after listening to them for a couple of days.
ভাল নালাগে এইবোৰ ককা,0,Don't like these grandfathers
ফকতীয়া গান বনাব আহিছা,0,You're going to make a song.
কেলা চুলিৰ দোকান,0,Black hair shop
গানটো শুনি থাকিলে সঁচাকৈ ফাগুনৰ পচুৱাই যেন ৰঙা পলাশৰ সৈতে মনটো বহু দূৰলৈ উৰুৱাই লৈ যায় তেনে লগে,1,Listening to the song really takes the mind away with the red palash.
"আপোনাৰ গানত ৰস বহুত আছে , বহুত ধুনীয়া",1,"There is a lot of juice in your song, very beautiful"
"অসভ্য শব্দৰে কিয় নিজৰ সুকন্ঠক বলি দিছ
",0,"Why do you sacrifice your voice with rude words
"
এবুৰ বাল গান,0,Abu's Bal Gun
আপুনি গান গোৱাৰ ধৰণটো মই ভাল পাওঁ,1,I love the way you sing
আজি দিনত হেৰাই গল এইবোৰ বিহুৰ,0,These are the bihus lost today
মোৰ অতিকৈ ভাল লাগে পূৰণি বিহু,1,I love Purani Bihu
মোৰ ভৰিবিলাক বিষত আছিল আৰু এতিয়া মইও অন্ধ।,0,My legs were in pain and now I am blind too.
জয় আই অসম!,1,Joy I assam!
অনুগ্ৰহ কৰি এই গায়কৰ একাউণ্ট নিষিদ্ধ কৰক,0,Please ban this singer's account
.মই অসমবুজি নাপাওঁ কিন্তু মই এই সুৰ আৰু সংগীত ভাল পাওঁ,1,I don't understand inequality but I love this tune and music
কাউৰীক ভয় খুৱাবলৈ সৰ্বশ্ৰেষ্ঠ গান,0,The best song to scare the crow
"বুঢ়া চেও ঢোলৰ তেনেকুৱা থাকিলে শুনিব মন এটা আছিল
",1,"It was a mind to listen if old Seo Dhol had the same
"
কি অপচয়ৰ গান,0,What a waste song
আনৰ গান চোৰ কৰোতে জাবো,0,Watch others while sing
কেতিয়াও পুৰণি হৈ নোযোৱা গান,1,Songs that have never been old
কি ঘেন্টা গান হৈছে এইটো,0,What a ghenta song is this
কি ফালটো বে,0,What's the side bay
সুন্দৰ নিদৰ্শন,1,Beautiful Vision
ইমান ফালতু আৰু ফকতীয়া গান খুনা নাই,0,Don't open such a shitand a fat song
বিহুসূৰিয়া গীত,1,Bihusuriya Song
গানটো মোৰ প্ৰিয় হৈ গল এইকেদিনতে,1,The song became my favourite these days
বহুত ভাল লাগিলে আত্মবিশ্বাস থাকিলে মানুহে কৰিব নোৱাৰা একো নাই,1,There is nothing people can do if they have confidence if they like it very much.
এইটো সঁচাকৈয়ে ধুনীয়া।,1,It's really beautiful.
অন্য এটা প্রিয় গান।।।মন শান্ত কৰি দিয়ে।।লগতে কিছু দুখঃ দিয়ে।।আবেগিক হৈ পৰো,1,Another song is a favorite song. Calms the mind. Also give some sorrow. Get emotional
আপোনাৰ সৰ্বনামউন্নত কৰক,0,Improve your pronoun
তাহানিৰ বিহুৰ আমেজেই বেলেগ এনেকুবা বিহু আগলৈও আশা কৰিলো।,1,Tahani's bihu image is something different Bihu has hoped for further.
অসম আৰু অসমীয়া গান,1,Assam and Assamese songs
এনেকুৱা গান আৰু লাগে,1,Such songs are more needed
সচাঁই কি ধুনীয়া বিহু,1,What a beautiful bihu
চিৰ যুগমীয়া গীত,1,Everlasting Songs
এই গীতবোৰে আমাৰ অসমী যুৱকসকলক ধ্বংস কৰি আছে,0,These songs are destroying our Assamese youth
নতুন গান আহিব আৰু যাব কিন্তু এইটো গান‌ চিৰযুগমীয়া,1,New songs will come and go but this song is everlasting
তালৰ নামত বেতাল খন গাইছে দাদা,0,Dada sings the betaal in the name of tal
ক'ব নোৱাৰাকৈ হঠাৎ অশ্ৰু নিগৰি আহিল।,1,"Unable to say, tears suddenly came out."
মোৰ কাণ ক্ষতিগ্ৰস্ত হৈছে আৰু মোৰ চকুৱে কাম কৰা নাই,0,My ears are damaged and my eyes are not working
"হই অ, অসমৰ বিহুৰ আজি কালি গায়ক বিলাকে শেষ কৰি দিলে, চব বিক্ৰি  কৰি নিজৰ পেত ভৰাইছে


",1,"Yes, the singers of Bihu in Assam have finished these days, selling the sauce and filling their feet.

"
গানটো বহুত ভাল পাওঁ,1,I love the song a lot
এটো গান হল নেকি ফটোয়া গান বোৰ গাই গাই বিখ্যাত হৈছো,0,Is it a song that has become famous by singing photosongs?
বাপেৰৰ মুৰ টো গাইছো‌ তোৰ থব্ৰা নাই হিৰো হোৱাৰ,0,Sing the father's head to become a hero without your thabra
গেদা,0,be a dissonof
"অসমৰ সৰ্বকালৰ এক অন্যতম শ্ৰেষ্ঠ অভিনেতা ''বিজু ফুকন "" ! অসমীয়া বোলছবি জগতলৈ আপোনাৰ মহান অৱদানৰ বাবে আমি আপোনাৰ ওচৰত চিৰ কৃতজ্ঞ !",1,Biju Phukan is one of the greatest actors of all time in Assam! We are eternally grateful to you for your great contribution to the Assamese film industry!
তেওঁৰ ভিডিঅ'বোৰ চোৱাৰ পিছত মানুহবোৰ পাগল হৈ পৰিব।,0,People will go crazy after watching his videos.
" এতিয়াৰ সংগীতৰ উঠিৰজা বহিৰজা পাৱতগজা সকলে মিলিজুলি বিহুক পইছা উপাৰ্জনৰ মেচিন কৰি পেলালে, হত্যা কৰিলে।",0,The now music maestro Baherja Pavatgaja made Milijuli Bihu a money making machine and killed him.
লৰা ছোৱালীক কব পাৰিম। আমি জুবিন দাৰ গান শুনি ডাঙৰ হোৱা।,1,I can tell the children. We grew up listening to Zubin Da's song.
মোৰ এটা প্ৰিয় গান,1,One of my favorite songs
২০২০ চনত কোনে কোনে চাইচা কমেন্ট কৰিবা।,1,Who will comment in 2020?
ইমান সুন্দৰ সংগীত,1,Such a beautiful music
মই এই গানটোৰ বিষয়ে এটাও ভাল কথা ক'ব নোৱাৰো।,0,I can't say a single good thing about this song.
কিছু ধুনীয়া গান।এবাৰ নুশুনাকে থাকিবই নোৱাৰো,1,Some beautiful songs. Can't stay unheard of once
"এটি গান, অতুলনীয় গান  গানৰ শবদবিন্যাস আৰু আলোকচিত্ৰ সংগ্ৰহ সঁচাই অদ্বিতীয়",1,"A song, unique song song style and photo collection are truly unique"
কিয় এনেকুৱা ৰুপ লৈছে আপুনি,0,Why are you taking such a roop
এতিয়ালৈকে আটাইতকৈ বেয়া গান,0,Worst song ever
বিহু বিহু লাগি গৈছে ও ইমানে মজা কি কম,1,Bihu Bihu is stuck and what's less fun
আনকি শিশুৱেও ইয়াতকৈ ভাল প্ৰদৰ্শন কৰিব পাৰে,0,Even children can perform better than this
এই গানটোৰ প্ৰতিটো শব্দই হৃদয় স্পৰ্শ কৰে,1,Every word of this song touches the heart
খুব বেয়া,0,Very bad
অন্ততঃ আপোনাৰ পৰা এনেকুৱা গীত আশা কৰা নাছিলোঁ,0,At least I didn't expect such a song from you
কবলৈ গলে আমঠু ৰঙালী বিহুৰ এয়াহে আচল বিহু,1,To say that this is the real Bihu of Amthu Rangali Bihu.
ঐ কেলা মানুহ মৰিৱ তোৰ গান সুনি।তই গান নাগাৱি,0,That black man is dead and your song Is Suni. That's the song Nagawi
এনেকুৱা গান নাইকীয়া হৈ গৈছে,1,Such songs have disappeared
কিমান ভাল লাগিছে তুলনা কৰিব নোৱাৰি,1,Can't compare how nice it looks
গান শিকক তাৰ পিছত গান গাবলৈ আহক,0,Learn to sing then come to sing
"ভাল লাগিল আকৌ কিবা এটা নতুনত্ব দেখি,",1,"It's nice to see something new again,"
বহুত কষ্ট হৈছিল,0,It was very difficult
মোৰ প্ৰিয় গান,1,My favorite song
আজিও চিৰ যুগমীয়া এই গীতবোৰ,1,These songs are still the age-long ones.
সৰ্বকালৰ সৰ্বশ্ৰেষ্ঠ,1,The best of all time
ইতিমধ্যে আঠ বছৰ হৈছে আৰু মই এতিয়াও এই গানটো ভাল পাওঁ,1,It's already been eight years and I still love this song
বোবা,0,dumb
অসমীয়া সংগীতক আগবঢ়াই লৈ যোৱা বিশ্ব দৰবালৈ,1,To the world door leading Assamese music
মই যি শুনিছোঁ সেয়া এতিয়া বমি হ'ব,0,What I hear will now be vomiting
আপুৰুগীয়া গীত,1,rare song
গৰিলা,0,guerrilla
মই এই গানটো প্ৰতিদিনে বজাওঁ,1,I play this song every day
গান বোৰ অলপ ভাল দৰে গাবা,0,Sing songs a little better
নিৰ্লজ্জ,0,shameless
এয়াহে আচল অসমীয়া বিহু,1,This is the real Assamese Bihu
বাপেৰৰ মুৰ টো বনাইছো,0,Make the head of the father
মোৰ কবলৈ ভাষা নাই..,1,I don't have the language to say.
সস্তীয়া জনপ্ৰিয়তাৰ কাৰণে সেইবোৰ নকৰিব।,0,Do not do them because of cheap popularity.
বহুত ভাল লাগিল গানটো শুনি যদিও মই নৱপ্ৰজন্মৰ উথি অহা চামৰ লৰা তথাপিও মই এনকুৱা পুৰনি গান বোৰ শুনি বহুত ভাল পাও,1,It's great to hear the song even though I'm the new generation's rising leather boy but I love listening to the old songs.
মই অসমভাষা জানো আৰু মই এই গানটো ভাল পাওঁ,1,I know Assamese and I love this song
যেতিয়া নিজক অকলশৰীয়া অনুভৱ কৰো তেতিয়াই এই গানটো শুনি দিও নিজকে শক্তিশালী অনুভৱ হয়,1,Listening to this song feels strong when I feel lonely
একদম ফালি দিছা,1,You've torn it all over
আপুনি ভাবেনে যে এইটো কোনো পছন্দৰ মূল্যৰ?,0,Do you think it's worth any choice?
চুৰ চালা,0,chur chala
এয়া-আচল অসমীয়াৰ বিহু,1,This is the real Assamese bihu
ইমান ধুনীয়া বিহু গানবোৰ শুনিয়েই সৰুৰ পৰা ডাঙৰ হ'লো,1,He grew up from a young age after listening to such beautiful Bihu songs.
মোৰ সকলো সময়তে ভাল লগা গান এইটো,1,This is the song I love all the time
সংগীতৰ ৰজা তুমি দাদা।ভাষাহীন আবেগ তোমাৰ প্ৰতি।,1,"You are the king of music, Dada. Languageless passion for you."
মাই গদ হি ইচ মেদ কেলা,0,My ass he is fat kela
২০২০ কোনো শুনি আছা।,1,2020 is listening to someone.
শব্দৰে বুকু ভেদি হৃদয় স্পর্শ কৰিবলৈ সক্ষম হোৱা  গান,1,Songs that are able to touch the heart with words
তামাম,1,tamam
গানটো শুনি বহুত ভাল লাগিছে,1,It's great to hear the song
অই ফোটোৱা মৰি জা না কেলা,0,Oi Photowa Mori Ja Na Kela
সুৰ অন্তৰত  সোমাই গৈছে,1,The tune has entered the heart
জহৰা,0,jewellery
নিজৰ প্ৰতিভাৰ ওপৰত বিশ্বাস ৰাখি আগুৱাই যোৱা ।,1,To keep faith in your talent and move forward.
গেচদি অসম শেষ হল,0,Gasdi Assam is over
মই পক্ষাঘাতগ্ৰস্ত,0,I'm paralyzed
শুনি থাকিলেও আমনি নলগা আপুৰুগীয়া গীতটিৰ ভিডিও সহ চাবলৈ সুবিধা কৰি দিয়া বাবে অশেষ ধন্যবাদ।,1,Thank you very much for allowing you to watch the song with a video of the song that is not boring even if you are listening.
আমাৰ দিনৰ গান,1,Songs of our day
ধুনীয়া লাগিছে নীল আকশ দা,1,Looks beautiful Neil Aksh Da
শব্দবোৰৰ প্ৰেমত পৰিছো,1,Falling in love with words
মই ইয়াতে মৰিছিলো,0,I die here
"এই খাৰ খোৱা অসমীয়া বিলাক সলনি কেতিয়া হব


",0,"When will these saline Assamese be replaced

"
এয়া হৈছে এক সম্পূৰ্ণ নতুন স্তৰলৈ অসমী গীতৰ উদ্ভাৱন।,1,This is the invention of Assamese songs to a whole new level.
এনেকুৱা গায়াক আৰু অসমত নওলৈ,1,Such a cow and not in Assam
"অসভ্য, লেতেৰা, কুকুৰ, নিলাজ, পাগল, বনৰা",0,"rude, dirty, dog, nilaj, mad, banara"
পুৰণি গীত বোৰ বাৰে বাৰে শুনিলেও মন ভাল লাগে,1,It's nice to hear old songs over and over again.
বৰ সুন্দৰ,1,very beautiful
"মন'লৈ গভীৰ প্ৰশান্তি অনা এটি গীত ।নিজ'কে হেৰুৱাই গীতত বুৰ গৈ আছো,আগলৈ আৰু সুন্দৰ গীত শুনাৰ আশাৰে, বহুতো শুভকামনা",1,"A song that brings deep tranquillity to the mind. Losing ourselves and going to the song, hoping to listen to more beautiful songs, many good wishes"
মোৰ কাণৰ বাবে নিখুঁত অত্যাচাৰ।,0,Perfect torture for my ears.
চুৰ কৰা গান,0,Stolen Songs
নুশুনিলেই হল,0,It's not heard
এই গানটোৰ কথাবোৰ ইমান অৰ্থপূৰ্ণ,1,The lyrics of this song make so much sense
কি লেকিচা বে চি,0,Ki Lekisa Bechi
বহুত ধুনীয়া হৈছে মোজা মোজা,1,Very beautiful is socks socks
হতাশাজনক,0,disappointing
অবাইচ প্ৰানী,0,Abais Prani
হাগুৰা ৰাজকুমাৰ তাৰ মককেলামি সা,0,Hagora Rajkumar his Makkelami Sa
মই এই গানটো মোৰ অন্ত্যেষ্টিক্ৰিয়াত বজোৱাটো বিচাৰো যাতে আনৰো মৃত্যু হয়,0,I want this song to be played at my funeral so that others die.
মক্কেল,0,client
এইবিলাক গানৰ কেতিয়াও মৃত্যু নহয়,1,These songs never die
ফাল্টু গান,0,Faltu Song
ইমান ধুনীয়া বিহু গীত নাচো নাচো লাগে ধন্যবাদ,1,Thank you for dancing such a beautiful Bihu song
এইটো চোৱাৰ পিছত মোৰ ডায়েৰিয়া হৈছে,0,I have diarrhea after seeing this
গান এটা কিমান বেয়া হ'ব পাৰে তাৰ কোনো সীমা নাই,0,There is no limit to how bad a song can be
বেয়া গায়ক,0,Bad Singer
গায়কজনক অভিবাদন,1,Greetings to the singer
ভাষা ই হেৰাই গল বৰ্বাদ গীত,0,Language it is lost Varbad song
এইয়া আমাৰ গৌৰব।,1,This is our pride.
বিহুক বিহু হৈ থাকিবলৈ দিয়া। বিহু সুৰীয়া কৰি নেপেলাবো।,0,Let Bihu remain bihu. I'm not sure if Bihu is suriya.
বাৰে বাৰে শুনিও হেপাহ পলোৱা নাই,1,Don't get lost despite hearing it over and over again
তোমাৰ গান বোৰ কীও ইমান লেতেৰা,0,Your songs are so dirty
মোক্কেল,0,mukkel
গানটোত কোনো অৰ্থ নাই,0,There is no point in the song
এই গানটো শুনি মোৰ মূৰটোৱে কাম কৰা নাই,0,My head is not working after listening to this song
অসমৰ পুৰণি সম্পদ সমূহ দেখা পাই মোৰ বেছি ভাল লাগিল,1,I was more than happy to see the old resources of Assam.
অতি সুন্দৰ গান,1,Very beautiful song
মই তোমাৰ গান শুনাতকৈ কাউৰীৰ মাত টো পছন্দ কৰিম,0,I'd prefer the crow's voice to listening to your songs
অসমীয়া শিল্পী সমাজৰ কলংক চাল্লা,0,Kalank Challa of Assamese Artistes Society
আপোনাক বান্দৰৰ দৰে দেখায়,0,You look like a monkey
অসভ্য গীত,0,rude song
স্বাস্থ‍্যৰ বাবে হানিকাৰক মেন,0,Harmful men for health
কি মানে এইবোৰ,0,What do these mean
অনুগ্ৰহ কৰি মোক হত্যা কৰক,0,Please kill me
ষাঁড় গৰু তুমি,0,Bull Cow You
অসভ্যালি দেখি মুৰটো ঘুৰাই গ'ল,0,Saw Osawalli and turned his head
"যদি আপোনাৰ কাপোৰ নাই মই তোমাক দিম, ছানী লিয়নী হোৱাৰ প্ৰয়োজন নাই",0,"If you don't have clothes I'll give you, don't need to be Sunny Leone"
আজিও শুনি আছে,1,Still listening today
মা কছম মজা ।,1,Mother is a little fun.
