Sentence,Sentiment
এই আৱৰ্জনাবোৰ কিয় আপলোড কৰিছা,0
আপোনাৰ গানৰ ভাষা-শৈলীৰ এটা সুকীয়া মাদকতা আছিল। এইটো গানত বিচাৰি নাপালোঁ,0
এনেধৰণৰ পুৰণি বিহু মাজতহে বিহুৰ আচল মাদকতা সোমাই আছে,1
মোককেল কেলা ঠাকুৰীয়া,0
জীৱন কাইটীয়া হ'ল,0
 তুমি নিজে ভাল  গান ওলোৱা আৰু গোৱা,0
দাদা মোৰ সদায় প্ৰিয়,1
আপুনি গান গোৱা বন্ধ কৰা উচিত,0
আমিবোৰ যেন পশ্চিমৰ সংস্কৃতিত লীন গলো,0
মাকচাই দিনটো লাগি আচে চেত,0
ফালি দিচা ভাই,1
সঁচাকৈয়ে এডাল ধুনীয়া শব্দৰ মালা,1
হৃদয় স্পৰ্শকৰা গান,1
আপোনালোকে এনেকৈ জনপ্ৰিয় নহলেও হব,0
 ফালতু গান,0
কাউৰীৰ গান আপোনাৰ তকৈ ভাল,0
"মই মোৰ আইতাৰ সৈতে চিকিৎসালয়ত আছিলো আৰু মই দুৰ্ঘটনাক্ৰমে এই গানটো বজাইছিলো, চিকিৎসালয়খন এতিয়া এটা কবৰস্থান",0
এই লোকসকল কোন আৰু তেওঁলোকৰ অস্তিত্ব কিয় আছে,0
চুঁৱৰ,0
 ফকতীয়া  গান,0
মনতুত নতুন গানবোৰে আনন্দ দিয়ে কিন্তু এনে গানে হিদয়ৰ মাজত মৌচুমিৰ মলয়া বতাহ বলাই মন হিতল কৰি দিয়ে,1
এই গীতটোৱে সমগ্ৰ অসমসংস্কৃতিক আক্ৰমণ কৰে,0
লিৰিচ্ছ বোৰ ভাল কৰা ভাই জা তা গাই থাকিলে কি হব,0
"এইটো কেৱল এটা গান নহয়, এইটো এটা আৱেগ",1
এনেকৈয়ে আগুৱাই যোৱা তুমি,1
মানুহে ইয়াক কেনেকৈ গ্ৰহণ কৰিব পাৰে?,0
ই ইমান আৰামদায়ক,1
"তহতক কুকুৰ বুলি কলেও কুকুৰকেইটাক হে অপমান কৰা হব।",0
কিযে অপূৰ্ব সংগীত,1
লাইকতকৈ বেছি অপছন্দ আছে,0
হৰামি,0
মই বহুদিনৰ পৰা গীতটোৰ আপেক্ষা কৰি আছিলোঁ ।,1
এই ভিডিঅ'টো চোৱাৰ পিছত মই এতিয়া চিকিৎসালয়ত আছোঁ,0
জুই,1
বৰ্বাদ গীত,0
বহুত শুৱলা হৈছে ,1
এই গানটোৰ অংশ হোৱা সকলোৰে বাবে লাজ,0
মন প্ৰাণ কাঢ়ি নিয়া সতেজ বিহু,1
সুকন্ঠৰে সভ্য গীত গাব লাগে,0
এই গানটোৰ সকলোবোৰ আমনিদায়ক,0
অনুগ্ৰহ কৰি এই গানটো নিষিদ্ধ কৰক,0
মই এই গানটো নিৰন্তৰ শুনি থকাৰ কেইমাহ মান হ'ল,1
সঁচা অসমীয়া যদি অলপ নিজৰ মৌলিক চিন্তা খটুৱাই কাম কৰক,0
মই ভাল পাওঁ যে অসমসংগীত উদ্যোগ ক'লৈ গৈ আছে।,1
এই গীতটিয়ে মনটোক সতেজ কৰি তোলে,1
এই গানটো ইমান আৰামদায়ক,1
বিহুৰ প্ৰকৃত ৰস আজিহে পান কৰা যেন লাগিল।,1
চমৎকাৰ ,1
কি ফকতিযা গান কেলা,0
ৰেপৰ্ত মাৰি দিলোঁ,0
যাদু এটা আছে এই কণ্ঠত,1
"গু খাই ভালপোৱা মানুহ থাকিলে হাগিবই লাগিব ন! হাগি যোৱা এনেকৈ।

",0
"ফতুৱা,অবদ্র অসমৰ নাম জাত যাবলে গান গাবলৈ সাজু হৈছ",0
এইটো সচাকৈয়ে প্ৰশংসা কৰোঁ।,1
আকৰ্ষণীয়,1
এই পাগলটোৰ  পাগলামি বাঢ়ি গৈ আছে ।,0
মোৰ বাবে এই গীতটিয়ে শ্ৰেষ্ঠতম হৈ ৰব,1
গান গাবলৈ এৰি দিয়ক,0
মৰহি যোৱা অসমীয়া   গীত  আকৌ জীপাল হৈ উঠিছে,1
মুখ দিয়ে গাইছে নাকী নাক দিয়ে গাইছে বোঝাই যাচ্ছে না,0
আপুনি কেতিয়াও আমাক অসন্তুষ্ট নকৰে,1
আজি প্ৰথম বিহুৰ দিনা প্ৰকৃত বিহু চাব পাই ধন্য হৈ গলোঁ,1
"ক'বলৈ শব্দ নাই, বিশেষ ভাৱে সক্ষম সকলক বহুত উৎসাহিত কৰিব",1
হৃদয় চুই যাই,1
সুন্দৰ বিহু গীত,1
আজিকালি বিহুবোৰ কিবা দুদিনমান শুনাৰ পাছত আকৌ শুনিবলৈকে মন নাযায়।,0
ভাল নালাগে এইবোৰ ককা,0
ফকতীয়া গান বনাব আহিছা,0
কেলা চুলিৰ দোকান,0
গানটো শুনি থাকিলে সঁচাকৈ ফাগুনৰ পচুৱাই যেন ৰঙা পলাশৰ সৈতে মনটো বহু দূৰলৈ উৰুৱাই লৈ যায় তেনে লগে,1
"আপোনাৰ গানত ৰস বহুত আছে , বহুত ধুনীয়া",1
"অসভ্য শব্দৰে কিয় নিজৰ সুকন্ঠক বলি দিছ
",0
এবুৰ বাল গান ,0
আপুনি গান গোৱাৰ ধৰণটো মই ভাল পাওঁ,1
 আজি দিনত হেৰাই গল এইবোৰ বিহুৰ,0
মোৰ অতিকৈ ভাল লাগে পূৰণি বিহু,1
মোৰ ভৰিবিলাক বিষত আছিল আৰু এতিয়া মইও অন্ধ।,0
জয় আই অসম!,1
অনুগ্ৰহ কৰি এই গায়কৰ একাউণ্ট নিষিদ্ধ কৰক,0
.মই অসমবুজি নাপাওঁ কিন্তু মই এই সুৰ আৰু সংগীত ভাল পাওঁ,1
কাউৰীক ভয় খুৱাবলৈ সৰ্বশ্ৰেষ্ঠ গান,0
"বুঢ়া চেও ঢোলৰ তেনেকুৱা থাকিলে শুনিব মন এটা আছিল
",1
কি অপচয়ৰ গান,0
আনৰ গান চোৰ কৰোতে জাবো,0
কেতিয়াও পুৰণি হৈ নোযোৱা গান,1
কি ঘেন্টা গান হৈছে এইটো,0
কি ফালটো বে,0
সুন্দৰ নিদৰ্শন,1
 ইমান ফালতু আৰু ফকতীয়া গান খুনা নাই,0
বিহুসূৰিয়া গীত,1
গানটো মোৰ প্ৰিয় হৈ গল এইকেদিনতে,1
বহুত ভাল লাগিলে আত্মবিশ্বাস থাকিলে মানুহে কৰিব নোৱাৰা একো নাই,1
এইটো সঁচাকৈয়ে ধুনীয়া।,1
অন্য এটা প্রিয় গান।।।মন শান্ত কৰি দিয়ে।।লগতে কিছু দুখঃ দিয়ে।।আবেগিক হৈ পৰো,1
আপোনাৰ সৰ্বনামউন্নত কৰক,0
তাহানিৰ বিহুৰ আমেজেই বেলেগ এনেকুবা বিহু আগলৈও আশা কৰিলো।,1
অসম আৰু অসমীয়া গান ,1
এনেকুৱা গান আৰু লাগে,1
সচাঁই কি ধুনীয়া বিহু,1
চিৰ যুগমীয়া গীত,1
এই গীতবোৰে আমাৰ অসমী যুৱকসকলক ধ্বংস কৰি আছে,0
নতুন গান আহিব আৰু যাব কিন্তু এইটো গান‌ চিৰযুগমীয়া,1
তালৰ নামত বেতাল খন গাইছে দাদা,0
ক'ব নোৱাৰাকৈ হঠাৎ অশ্ৰু নিগৰি আহিল।,1
মোৰ কাণ ক্ষতিগ্ৰস্ত হৈছে আৰু মোৰ চকুৱে কাম কৰা নাই,0
"হই অ, অসমৰ বিহুৰ আজি কালি গায়ক বিলাকে শেষ কৰি দিলে, চব বিক্ৰি  কৰি নিজৰ পেত ভৰাইছে

",1
গানটো বহুত ভাল পাওঁ,1
এটো গান হল নেকি ফটোয়া গান বোৰ গাই গাই বিখ্যাত হৈছো,0
বাপেৰৰ মুৰ টো গাইছো‌ তোৰ থব্ৰা নাই হিৰো হোৱাৰ,0
গেদা,0
"অসমৰ সৰ্বকালৰ এক অন্যতম শ্ৰেষ্ঠ অভিনেতা ''বিজু ফুকন "" ! অসমীয়া বোলছবি জগতলৈ আপোনাৰ মহান অৱদানৰ বাবে আমি আপোনাৰ ওচৰত চিৰ কৃতজ্ঞ !",1
তেওঁৰ ভিডিঅ'বোৰ চোৱাৰ পিছত মানুহবোৰ পাগল হৈ পৰিব।,0
" এতিয়াৰ সংগীতৰ উঠিৰজা বহিৰজা পাৱতগজা সকলে মিলিজুলি বিহুক পইছা উপাৰ্জনৰ মেচিন কৰি পেলালে, হত্যা কৰিলে।",0
লৰা ছোৱালীক কব পাৰিম। আমি জুবিন দাৰ গান শুনি ডাঙৰ হোৱা।,1
মোৰ এটা প্ৰিয় গান,1
২০২০ চনত কোনে কোনে চাইচা কমেন্ট কৰিবা।,1
ইমান সুন্দৰ সংগীত,1
মই এই গানটোৰ বিষয়ে এটাও ভাল কথা ক'ব নোৱাৰো।,0
কিছু ধুনীয়া গান।এবাৰ নুশুনাকে থাকিবই নোৱাৰো,1
"এটি গান, অতুলনীয় গান  গানৰ শবদবিন্যাস আৰু আলোকচিত্ৰ সংগ্ৰহ সঁচাই অদ্বিতীয়",1
কিয় এনেকুৱা ৰুপ লৈছে আপুনি,0
এতিয়ালৈকে আটাইতকৈ বেয়া গান,0
বিহু বিহু লাগি গৈছে ও ইমানে মজা কি কম,1
আনকি শিশুৱেও ইয়াতকৈ ভাল প্ৰদৰ্শন কৰিব পাৰে,0
এই গানটোৰ প্ৰতিটো শব্দই হৃদয় স্পৰ্শ কৰে,1
খুব বেয়া,0
অন্ততঃ আপোনাৰ পৰা এনেকুৱা গীত আশা কৰা নাছিলোঁ,0
কবলৈ গলে আমঠু ৰঙালী বিহুৰ এয়াহে আচল বিহু,1
"ঐ কেলা মানুহ মৰিৱ তোৰ গান সুনি।তই গান নাগাৱি",0
এনেকুৱা গান নাইকীয়া হৈ গৈছে,1
কিমান ভাল লাগিছে তুলনা কৰিব নোৱাৰি ,1
গান শিকক তাৰ পিছত গান গাবলৈ আহক,0
"ভাল লাগিল আকৌ কিবা এটা নতুনত্ব দেখি,",1
বহুত কষ্ট হৈছিল,0
মোৰ প্ৰিয় গান,1
আজিও চিৰ যুগমীয়া এই গীতবোৰ ,1
সৰ্বকালৰ সৰ্বশ্ৰেষ্ঠ,1
 ইতিমধ্যে আঠ বছৰ হৈছে আৰু মই এতিয়াও এই গানটো ভাল পাওঁ,1
বোবা,0
অসমীয়া সংগীতক আগবঢ়াই লৈ যোৱা বিশ্ব দৰবালৈ ,1
মই যি শুনিছোঁ সেয়া এতিয়া বমি হ'ব,0
আপুৰুগীয়া গীত,1
গৰিলা,0
মই এই গানটো প্ৰতিদিনে বজাওঁ,1
গান বোৰ অলপ ভাল দৰে গাবা,0
নিৰ্লজ্জ ,0
এয়াহে আচল অসমীয়া বিহু,1
বাপেৰৰ মুৰ টো বনাইছো,0
মোৰ কবলৈ ভাষা নাই..,1
সস্তীয়া জনপ্ৰিয়তাৰ কাৰণে সেইবোৰ নকৰিব।,0
বহুত ভাল লাগিল গানটো শুনি যদিও মই নৱপ্ৰজন্মৰ উথি অহা চামৰ লৰা তথাপিও মই এনকুৱা পুৰনি গান বোৰ শুনি বহুত ভাল পাও,1
মই অসমভাষা জানো আৰু মই এই গানটো ভাল পাওঁ,1
যেতিয়া নিজক অকলশৰীয়া অনুভৱ কৰো তেতিয়াই এই গানটো শুনি দিও নিজকে শক্তিশালী অনুভৱ হয়,1
 একদম ফালি দিছা,1
আপুনি ভাবেনে যে এইটো কোনো পছন্দৰ মূল্যৰ?,0
চুৰ চালা,0
এয়া-আচল অসমীয়াৰ বিহু,1
ইমান ধুনীয়া বিহু গানবোৰ শুনিয়েই সৰুৰ পৰা ডাঙৰ হ'লো,1
মোৰ সকলো সময়তে ভাল লগা গান এইটো,1
সংগীতৰ ৰজা তুমি দাদা।ভাষাহীন আবেগ তোমাৰ প্ৰতি।,1
মাই গদ হি ইচ মেদ কেলা,0
২০২০ কোনো শুনি আছা।,1
শব্দৰে বুকু ভেদি হৃদয় স্পর্শ কৰিবলৈ সক্ষম হোৱা  গান,1
তামাম,1
গানটো শুনি বহুত ভাল লাগিছে,1
অই ফোটোৱা মৰি জা না কেলা,0
সুৰ অন্তৰত  সোমাই গৈছে,1
জহৰা ,0
"নিজৰ প্ৰতিভাৰ ওপৰত বিশ্বাস ৰাখি আগুৱাই যোৱা ।",1
"গেচদি অসম শেষ হল",0
মই পক্ষাঘাতগ্ৰস্ত,0
শুনি থাকিলেও আমনি নলগা আপুৰুগীয়া গীতটিৰ ভিডিও সহ চাবলৈ সুবিধা কৰি দিয়া বাবে অশেষ ধন্যবাদ। ,1
আমাৰ দিনৰ গান,1
ধুনীয়া লাগিছে নীল আকশ দা,1
শব্দবোৰৰ প্ৰেমত পৰিছো,1
মই ইয়াতে মৰিছিলো,0
"এই খাৰ খোৱা অসমীয়া বিলাক সলনি কেতিয়া হব

",0
এয়া হৈছে এক সম্পূৰ্ণ নতুন স্তৰলৈ অসমী গীতৰ উদ্ভাৱন।,1
এনেকুৱা গায়াক আৰু অসমত নওলৈ,1
"অসভ্য, লেতেৰা, কুকুৰ, নিলাজ, পাগল, বনৰা",0
"পুৰণি গীত বোৰ বাৰে বাৰে শুনিলেও মন ভাল লাগে",1
বৰ সুন্দৰ,1
"মন'লৈ গভীৰ প্ৰশান্তি অনা এটি গীত ।নিজ'কে হেৰুৱাই গীতত বুৰ গৈ আছো,আগলৈ আৰু সুন্দৰ গীত শুনাৰ আশাৰে, বহুতো শুভকামনা",1
মোৰ কাণৰ বাবে নিখুঁত অত্যাচাৰ।,0
চুৰ কৰা গান,0
নুশুনিলেই হল,0
এই গানটোৰ কথাবোৰ ইমান অৰ্থপূৰ্ণ,1
কি লেকিচা বে চি,0
বহুত ধুনীয়া হৈছে মোজা মোজা,1
হতাশাজনক,0
অবাইচ প্ৰানী,0
হাগুৰা ৰাজকুমাৰ তাৰ মককেলামি সা,0
মই এই গানটো মোৰ অন্ত্যেষ্টিক্ৰিয়াত বজোৱাটো বিচাৰো যাতে আনৰো মৃত্যু হয়,0
মক্কেল,0
এইবিলাক গানৰ কেতিয়াও মৃত্যু নহয়,1
ফাল্টু গান,0
ইমান ধুনীয়া বিহু গীত নাচো নাচো লাগে ধন্যবাদ,1
এইটো চোৱাৰ পিছত মোৰ ডায়েৰিয়া হৈছে,0
গান এটা কিমান বেয়া হ'ব পাৰে তাৰ কোনো সীমা নাই,0
বেয়া গায়ক,0
গায়কজনক অভিবাদন,1
 ভাষা ই হেৰাই গল বৰ্বাদ গীত,0
এইয়া আমাৰ গৌৰব।,1
বিহুক বিহু হৈ থাকিবলৈ দিয়া। বিহু সুৰীয়া কৰি নেপেলাবো। ,0
বাৰে বাৰে শুনিও হেপাহ পলোৱা নাই,1
তোমাৰ গান বোৰ কীও ইমান লেতেৰা,0
মোক্কেল ,0
গানটোত কোনো অৰ্থ নাই,0
এই গানটো শুনি মোৰ মূৰটোৱে কাম কৰা নাই,0
অসমৰ পুৰণি সম্পদ সমূহ দেখা পাই মোৰ বেছি ভাল লাগিল,1
অতি সুন্দৰ গান,1
মই তোমাৰ গান শুনাতকৈ কাউৰীৰ মাত টো পছন্দ কৰিম,0
অসমীয়া শিল্পী সমাজৰ কলংক চাল্লা,0
আপোনাক বান্দৰৰ দৰে দেখায়,0
অসভ্য গীত,0
"স্বাস্থ‍্যৰ বাবে হানিকাৰক মেন",0
কি মানে এইবোৰ,0
অনুগ্ৰহ কৰি মোক হত্যা কৰক,0
ষাঁড় গৰু তুমি,0
অসভ্যালি দেখি মুৰটো ঘুৰাই গ'ল,0
"যদি আপোনাৰ কাপোৰ নাই মই তোমাক দিম, ছানী লিয়নী হোৱাৰ প্ৰয়োজন নাই",0
আজিও শুনি আছে,1
মা কছম মজা ।,1
চিৰস্থায়ী গান,1
সুন্দৰ দাদা,1
চুদুৰভাই টোহত হাজাৰ জন্ম লৈও শিল্পী হব নোৱাৰ,0
অসমীযা জাতিৰ অধপতন,0
"আচলতে এইবোৰ হে বিহু, মোৰ মন জুৰ পেলাই দিলে

",1
আপুনি মৰি নজাই কিও অসম খন শান্তি ত থাকিব দিয়া নাই আপোনাৰ গান এ,0
মতামত দিবলৈ ভাষা নাই,1
"
যেতিয়া অকলে নিজক বিচাৰো তেতিয়া এই গীতটি শুনো",1
"এনেকুৱা সোণালী সময়ৰ গান, কথাছবিবোৰ যাতে আগলৈও পাঁ‌ও । সেয়ে আশা কৰিলোঁ",1
অসমৰ ছাগলী সেইটো কাম নাই ভিক্ষাৰীহতৰ অসমখন লেতেৰা কৰি দিছে,0
"গানটোৰ গভীৰ ভাৱ অৰ্থ নিজৰ দাদাৰ বাবে থকা মৰম, বেদনা আৰু অনোৰোধ সলাগীবলগীয়া",1
আপুনি এতিয়াও কিয় মৰি যোৱা নাই?,0
এতিয়া বিহু মানে জুবিন দা তেওঁৰ বাহিৰে আন কাৰো বিহু শুনিবলৈ ভাল নালাগে।,0
তহঁতি সৰ্ম্পূন গেলালি অসমীয়াৰ গীতৰ মৰ্য্যাদা,0
ঔকাদ সাই ভিদেও বনাবি,0
"এই গানটো শুনিলে কলিজা বহুত জোৰেৰে ধপধপাই যায়,চকু পানীৰে উপচি পৰে",1
গানৰ শান্তি নিকেতনত ,1
"এই গানটোৱে আপোনাক অকলশৰীয়া হৈ থাকিব বিচাৰে আৰু আপোনাৰ মন, শৰীৰ আৰু আত্মা একেলগে সংৰেখিত কৰি শুনিব বিচাৰে",1
এই ৰত্নটোৱে আপোনাক সকলো উত্তেজনা পাহৰি বলৈ বাধ্য কৰিব,1
এই গানটোৱে মোক মোৰ শৈশৱৰ কথা মনত পেলাই দিছে।,1
একেবাৰে আগৰ দিনৰ বিহু নাচ লগতে গানটোও,1
গানটো শুনিলে গা সাতখন আঠখন হৈ যায়,1
মোৰ আৰু ভাল লাগিছে যে অসমৰ বাহিৰৰ ইমানবোৰ শ্ৰুতাই গানটোক আকোৱালি লৈছে আৰু ইমান ধুনীয়া ধুনীয়া কমেণ্ট দিছে ।,1
এইবোৰৰ মাক বাপেক নাই নেকি।,0
এইটো অসমীয়া গীতৰ বাবে বিপদজনক সময়,0
ভুল হৈছে শুধৰাই দিয়ক,0
আশা ভৰা গীতে আজি প্ৰাণ পালে,1
এই গানটো এটা আৱেগ,1
এইবোৰ হে বিহু শুনিলে শুনি থাকিবৰ মন যায় ,1
চিৰসেউজ গান,1
তই নালাগে গাব,0
বৰ সুন্দৰ নিৰ্ভেজাল বিহু,1
বৰ মৰমলগা গান এইটো,1
আপোনাৰ কণ্ঠস্বৰ হাঁহৰ দৰে,0
"এইটো পাগল , ই অসমখন শেষ কৰিব আহিল ",0
আৰে ভাই বাইদেউৰ কেইজনীৰ তপিনাত খজুৱতি হৈছে নেকি,0
মন ভৰি গ'ল,1
এই গানটো কেৱল এটা গান নহয় এইটো এটা বুজাব নোৱাৰা আৱেগ।,1
ফকতিয়া,0
গান চোৰ কৰা  ফফৰা দালাল,0
"অতুলনীয় ! কি গীত , কি অভিনয়",1
অসমীয়া ভাষাৰ এই ইমান ধুনীয়া শব্দ বোৰ জানো ক'ত লুকাই আছিল,1
এই আটাইতকৈ বেয়া সংগীত নুশুনিব ,0
ধন্যবাদ এটি আপুৰুগীয়া ভিডিঅ',1
অভদ্ৰ চালা,0
"আপুনি যি গাইছিল, ই সদায় মোৰ হৃদয় স্পৰ্শ কৰিব",1
কি গাইছাঁ এগলা খান,0
এইবোৰ গানৰ কাৰণে অসমীয়া সংগীত উদ্যোগ পিছ পৰি আছে,0
"যেতিয়া আপুনি ভাবে যে ই আৰু হাস্যকৰ হ'ব নোৱাৰে, তেওঁ আপোনাৰ প্ৰত্যাশা অতিক্ৰম কৰে",0
অৰ্থহীন ভাষা লগতে সাজ পাৰৰ কোনো ধৰণ কৰণ নাই,0
এনকুৱা পুৰনি গান বোৰ সংৰক্ষণ কৰিব লাগে,1
ভৱিষ্যতেও এনেধৰণৰ সুৰৰ বৰষুণ আশা কৰিলোঁ ,1
আঃহ সেই দিনবোৰ ,1
কি কম পাগল হম মই,0
আশ্চৰ্যকৰ ৰচনা,1
ক'বলৈ ভাষা নাই,1
ইমানেই ভাল পাওঁ এইটো গীত যাক শব্দৰ জড়িয়তে প্ৰকাশ কৰিব নোৱাৰো,1
ইমান ইতিবাচক আৱেগ,1
লেঙেৰা পেঙেৰা কুকুৰে ভুকী থকা যেন হৈছে,0
গীতটোৰ প্ৰতিটো কথাই অৰ্থপূৰ্ণ।,1
আপোনাৰ গানটো ভেকুলীৰ গানৰ দৰে,0
কোনো সুৰ নাই,0
তহঁতৰ দৰে এচাম উদণ্ড গায়কৰ বাবে অসমীয়া কৃষ্টি-সংস্কৃতি শেষ হৈছে,0
অসমৰ শ্ৰেষ্ঠ গীত,1
১০ মিনিট ৰ গান পোৰা শুনিলে মৰি থাকিম,0
আপোনা লোকৰ এই ধৰণৰ সৃষ্টিয়ে অসমীয়া গীতক অন্য এক মাত্ৰা দিছে,1
এইবিলাক গীত অসমীয়া মানুহৰ বাবে তেজৰ দৰে,1
মই এই গানটোৰ প্ৰেমত আৰোগ্য হোৱাৰ ওপৰত মূৰ দাঙি ছোঁ,1
এই গানটোৱে মোৰ মনক সতেজ কৰি তুলিছে,1
যেতিয়া মই অকলে থাকো আৰু মই সুৰাপান কৰোঁ তেতিয়া এই গানটো মোৰ অততকৈ প্ৰিয় হয়,1
মোৰ কাণৰ পৰা তেজ ওলাইছে,0
কবলৈ শব্দ নাই কিমান ভাল লাগিল,1
এইটো শুনি মই মৰিছোঁ ,0
এই গানটো শুনি মোৰ বৃক্কৰ হৃদযন্ত্ৰৰ আক্ৰমণ হৈছিল,0
কোনোবাই আপোনাৰ খাদ্যবিষাক্ত কৰিব লাগিব,0
কালজয়ী গীত,0
হে ভগৱান আজি অসমী হোৱাৰ বাবে ইমান লাজ পাইছো,0
মল-মূত্ৰ,0
কি নিৰ্ভাজ বিহু.,1
গাণ আৰু গায়ক মানিব লাগিব,1
শুদ্ধকৈ গাবা,0
জুবিন্দাৰ কি এক আৱেগিক আশ্চৰ্যকৰ গান,1
মজা,1
শৌচাগাৰৰ ফালে পাৰ্টি কৰক,0
কুকুৰে কেতিয়া ও গূ খাব এৰি নিদিয়ে,0
"কণ্ঠস্বৰ, সংগীত, সকলোবোৰ কেৱল নিখুঁত।",1
বাৰে বাৰে শুনি ও আমনি নলগা এক হৃদ়স্পৰ্শী গীত এইটো,1
কুত্তা তুমি গাব জানা,0
গানটো শুনিছো কিন্ত্ত ভিডিঅটো চোৱা নাছিলো।সছাকৈ এইবোৰ গানৰ ওচৰত বৰ্তমান গানবোৰে পাত্রা ই নাপাব,1
মানে কি কব বিচাৰিছে ,0
গাৰ নুম শিয়ৰি  গৈছে,1
ভাল লগা নাই,0
গান হ'লে এনেকুৱা হ'ব লাগে।,1
হেডফোন ব্যৱহাৰকাৰীসকলৰ বাবে মোৰ বেয়া অনুভৱ হৈছে,0
শুনি ভাল লাগিল আশা কৰো এনে আধুনিক গীত আৰু শুনিবলৈ পাম।,1
গৰু চোৰ,0
এনেকুৱা মহিলাই বহুতো পুৰুষক পংগু কৰি আহিছে,0
সকলোত কৈ প্ৰিয় বিহুগীতটি  এই গান টো নাবাজিলে বিহু যেন এ নালাগে,1
